region,island,lon,lat,year,month,day,coral_cover
NWHI,French_Frigate,193.81883606,23.65739222,2012,8,4,0.2879038155078888
NWHI,French_Frigate,193.935065,23.782244,2016,9,24,0.005438635591417551
NWHI,French_Frigate,193.890401,23.829417,2016,9,24,0.05167105048894882
NWHI,French_Frigate,193.793325,23.871681,2016,9,25,0.1770574450492859
NWHI,French_Frigate,193.69338521,23.87416667,2017,9,27,0.43600502610206604
NWHI,French_Frigate,193.700493,23.875131,2016,9,25,0.358761228621006
NWHI,French_Frigate,193.943286,23.710357,2015,7,30,0.023778658360242844
NWHI,French_Frigate,193.78778,23.723614,2016,9,27,0.35711240768432617
NWHI,French_Frigate,193.74803002,23.88334,2017,9,9,0.17032001912593842
NWHI,French_Frigate,193.7508963,23.83248431,2010,9,8,0.3429265320301056
NWHI,French_Frigate,193.74851307,23.77439311,2016,9,3,0.4215884208679199
NWHI,French_Frigate,193.6676618,23.86122895,2014,8,14,0.5191344022750854
NWHI,French_Frigate,193.9451284,23.71545349,2014,8,15,0.022967271506786346
NWHI,French_Frigate,193.793472,23.706773,2016,9,27,0.36097440123558044
NWHI,French_Frigate,193.6766494,23.87038627,2017,9,27,0.46744927763938904
NWHI,French_Frigate,193.89101867,23.82940639,2017,9,11,0.05167105048894882
NWHI,French_Frigate,193.926112,23.873888,2016,9,24,0.04504280955920559
NWHI,French_Frigate,193.805273,23.635948,2016,9,1,0.3176659047603607
NWHI,French_Frigate,193.785779,23.745109,2016,9,3,0.3339935541152954
NWHI,French_Frigate,193.7385395,23.80198717,2014,8,16,0.3940671384334564
NWHI,French_Frigate,193.81181,23.863206,2016,9,25,0.15131793916225433
NWHI,French_Frigate,193.77854409,23.66210863,2017,9,26,0.4332842528820038
NWHI,French_Frigate,193.74313323,23.67157054,2010,9,9,0.513413667678833
NWHI,French_Frigate,193.79155666,23.70241947,2010,9,9,0.37854212522506714
NWHI,French_Frigate,193.75704174,23.6708414,2012,8,6,0.4671463370323181
NWHI,French_Frigate,193.6949886,23.87405478,2014,8,14,0.43600502610206604
NWHI,French_Frigate,193.7112473,23.84049129,2012,8,5,0.4337344765663147
NWHI,French_Frigate,193.7669325,23.67634404,2012,8,6,0.4317410886287689
NWHI,French_Frigate,193.748869,23.883078,2015,7,31,0.17032001912593842
NWHI,French_Frigate,193.75601814,23.65555826,2017,9,10,0.44936311431229115
NWHI,French_Frigate,193.92241401,23.66173957,2017,9,10,0.049993183463811874
NWHI,French_Frigate,193.707289,23.877309,2015,7,31,0.3243560492992401
NWHI,French_Frigate,193.76092952,23.66236621,2010,9,9,0.44322021802266437
NWHI,French_Frigate,193.9382188,23.68991828,2014,8,15,0.01613929122686386
NWHI,French_Frigate,193.705202,23.80839958,2014,8,16,0.4548056721687317
NWHI,French_Frigate,193.8901101,23.6267287,2012,8,4,0.052701760083436966
NWHI,French_Frigate,193.7381781,23.68082173,2012,8,4,0.5361350774765015
NWHI,French_Frigate,193.748311,23.883236,2016,9,25,0.17032001912593842
NWHI,French_Frigate,193.82473055,23.66587697,2017,9,26,0.26072201132774353
NWHI,French_Frigate,193.75384698,23.67354373,2012,8,6,0.5029533505439758
NWHI,French_Frigate,193.7785516,23.88059266,2014,8,14,0.18405812978744507
NWHI,French_Frigate,193.67385998,23.83712,2017,9,9,0.5142658948898315
NWHI,French_Frigate,193.79102281,23.87544818,2017,9,11,0.16408824920654297
NWHI,French_Frigate,193.67573015,23.83657845,2010,9,8,0.48254135251045227
NWHI,French_Frigate,193.79843,23.6672,2011,7,27,0.3269518315792084
NWHI,French_Frigate,193.7577089,23.76260907,2014,8,16,0.4087032973766327
NWHI,French_Frigate,193.94500257,23.70266413,2017,9,10,0.015698350965976715
NWHI,French_Frigate,193.79575624,23.66939309,2017,9,26,0.3269518315792084
NWHI,French_Frigate,193.8349315,23.85769824,2017,9,11,0.116047702729702
NWHI,French_Frigate,193.93648529,23.67762663,2012,8,4,0.016493579372763634
NWHI,French_Frigate,193.67327107,23.83845029,2012,8,5,0.5142658948898315
NWHI,French_Frigate,193.78085908,23.67251242,2012,8,6,0.39632824063301086
NWHI,French_Frigate,193.807992,23.696513,2016,9,2,0.2645387649536133
NWHI,French_Frigate,193.75136954,23.7737503,2016,9,3,0.4215884208679199
NWHI,French_Frigate,193.66742,23.83752,2011,7,28,0.5142658948898315
NWHI,French_Frigate,193.679758,23.835458,2016,9,3,0.48254135251045227
NWHI,French_Frigate,193.6506147,23.86164101,2012,8,5,0.5441364645957947
NWHI,French_Frigate,193.734763,23.769163,2016,9,3,0.47673970460891724
NWHI,French_Frigate,193.90523,23.821135,2016,9,24,0.022766515612602234
NWHI,French_Frigate,193.66088002,23.85822999,2017,9,9,0.5095632076263428
NWHI,French_Frigate,193.66515529,23.86920593,2017,9,27,0.4585212469100952
NWHI,French_Frigate,193.77887819,23.68291629,2012,8,6,0.3972344994544983
NWHI,French_Frigate,193.785283,23.688787,2016,9,2,0.36352992057800293
NWHI,French_Frigate,193.704023,23.815785,2016,9,26,0.46270859241485596
NWHI,French_Frigate,193.7621979,23.6848862,2012,8,6,0.5084225535392761
NWHI,French_Frigate,193.79118,23.68307,2011,7,27,0.36286410689353943
NWHI,French_Frigate,193.780466,23.713665,2016,9,2,0.39341166615486145
NWHI,French_Frigate,193.8144653,23.6348107,2014,8,15,0.3003159165382385
NWHI,French_Frigate,193.9310376,23.81090091,2014,8,15,0.021419857628643513
NWHI,French_Frigate,193.908745,23.639013,2015,7,30,0.06422022730112076
NWHI,French_Frigate,193.842344,23.855185,2016,9,25,0.10004747658967972
NWHI,French_Frigate,193.77832565,23.68688134,2010,9,9,0.3972863554954529
NWHI,French_Frigate,193.9492441,23.74756934,2014,8,15,0.019152702763676643
NWHI,French_Frigate,193.91887869,23.65031965,2010,9,10,0.039111364632844925
NWHI,French_Frigate,193.94949795,23.71500766,2010,9,10,0.022967271506786346
NWHI,French_Frigate,193.913174,23.644129,2015,7,30,0.06422022730112076
NWHI,French_Frigate,193.654393,23.865215,2016,9,26,0.5268498361110687
NWHI,French_Frigate,193.675326,23.831415,2016,9,3,0.5021289587020874
NWHI,French_Frigate,193.65880567,23.84464561,2010,9,7,0.547644853591919
NWHI,French_Frigate,193.64934,23.86363,2011,7,28,0.5441364645957947
NWHI,French_Frigate,193.864995,23.84482515,2014,8,14,0.0454024039208889
NWHI,French_Frigate,193.8056756,23.8656867,2014,8,14,0.13891695191462836
NWHI,French_Frigate,193.71362943,23.78673655,2010,9,8,0.49518147110939026
NWHI,French_Frigate,193.7285443,23.73332983,2014,8,16,0.5337158441543579
NWHI,French_Frigate,193.67012,23.871397,2016,9,26,0.4585212469100952
NWHI,French_Frigate,193.645266,23.830298,2016,9,26,0.6025295257568359
NWHI,French_Frigate,193.76827097,23.70583249,2010,9,9,0.4254967272281647
NWHI,French_Frigate,193.676697,23.82265275,2014,8,16,0.5223192572593689
NWHI,French_Frigate,193.684722,23.818228,2016,9,26,0.5223192572593689
NWHI,French_Frigate,193.678683,23.814193,2015,7,31,0.5296803514162699
NWHI,French_Frigate,193.7941,23.8587,2008,10,9,0.12374385446310043
NWHI,French_Frigate,193.7603,23.865717,2004,9,16,0.16385585069656372
NWHI,French_Frigate,193.781424,23.846927,2007,9,21,0.15316718816757202
NWHI,French_Frigate,193.723422,23.867155,2007,9,22,0.24610772728919983
NWHI,French_Frigate,193.749807,23.874025,2007,9,23,0.1829405426979065
NWHI,French_Frigate,193.78855,23.86315,2001,9,14,0.12374385446310043
NWHI,French_Frigate,193.78855,23.863152,2001,9,15,0.12374385446310043
NWHI,French_Frigate,193.755143,23.873171,2007,9,27,0.16385585069656372
NWHI,French_Frigate,193.7446,23.8659,2008,10,8,0.20303963124752045
NWHI,French_Frigate,193.702733,23.84955,2006,9,4,0.4434543251991272
NWHI,French_Frigate,193.80013,23.676682,2008,10,8,0.3287753462791443
NWHI,French_Frigate,193.87716,23.83256,2008,10,8,0.06541929394006729
NWHI,French_Frigate,193.773533,23.789283,2000,9,13,0.3684259057044983
NWHI,French_Frigate,193.7603,23.865717,2003,7,15,0.16385585069656372
NWHI,French_Frigate,193.740125,23.800828,2007,9,24,0.3940671384334564
NWHI,French_Frigate,193.922562,23.689389,2007,9,25,0.04978816956281662
NWHI,French_Frigate,193.839667,23.851435,2008,10,8,0.06224155053496361
NWHI,French_Frigate,193.738267,23.769283,2004,9,17,0.44912177324295044
NWHI,French_Frigate,193.738267,23.769283,2006,9,30,0.44912177324295044
NWHI,French_Frigate,193.950849,23.721629,2007,9,25,0.022967271506786346
NWHI,French_Frigate,193.702733,23.84955,2008,9,15,0.4434543251991272
NWHI,French_Frigate,193.8536,23.678517,2008,9,16,0.19717265665531158
NWHI,French_Frigate,193.9171,23.794717,2000,9,13,0.004394148476421833
NWHI,French_Frigate,193.73085,23.854865,2001,9,13,0.3572321832180023
