region,island,lon,lat,coral_cover
MHI,Hawaii,-155.91609498,19.87847437,0.3713392913341522
MHI,Hawaii,-155.907468,19.189921,0.09354580193758011
MHI,Hawaii,-155.892197,20.128634,0.6542101502418518
MHI,Hawaii,-155.914273,19.422209,0.20382294058799744
MHI,Hawaii,-156.042952,19.787896,0.29977861046791077
MHI,Hawaii,-154.843742,19.54249,0.1983092874288559
MHI,Hawaii,-155.393637,20.068805,0.6280936002731323
MHI,Hawaii,-155.75121045,20.23244122,0.6791822910308838
MHI,Hawaii,-156.03107,19.65136,0.28944987058639526
MHI,Hawaii,-156.060932,19.725837,0.26741549372673035
MHI,Hawaii,-155.085626,19.853562,0.5760350823402405
MHI,Hawaii,-155.880183,19.93748,0.41449782252311707
MHI,Hawaii,-155.898787,19.238813,0.10480885207653046
MHI,Hawaii,-155.870116,19.95025,0.4230566620826721
MHI,Hawaii,-154.988682,19.714348,0.2500690817832947
MHI,Hawaii,-155.049942,19.735237,0.44908925890922546
MHI,Hawaii,-155.29146633,20.02240791,0.7250818610191345
MHI,Hawaii,-155.06883913,19.74751619,0.5391697883605957
MHI,Hawaii,-155.90988457,19.17447103,0.0885123535990715
MHI,Hawaii,-154.89544404,19.41163539,0.282554030418396
MHI,Hawaii,-155.73706063,20.22456148,0.672396183013916
MHI,Hawaii,-155.68496098,18.91922507,NA
MHI,Hawaii,-155.901256,19.076333,0.06802022457122803
MHI,Hawaii,-155.562618,20.128452,0.6359258890151978
MHI,Hawaii,-154.945774,19.614773,0.21271349489688873
MHI,Hawaii,-155.970582,19.575632,0.10126496106386185
MHI,Hawaii,-155.881927,19.042843,9.702988900244236e-4
MHI,Hawaii,-155.892118,19.277203,0.11668861657381058
MHI,Hawaii,-155.89885,19.372795,0.14589619636535645
MHI,Hawaii,-155.893388,19.924188,0.39970117807388306
MHI,Hawaii,-155.90719000000001,19.194486,0.09354580193758011
MHI,Hawaii,-155.959138,19.538487,0.24763469398021698
MHI,Hawaii,-155.71175289,20.19613224,0.7814606428146362
MHI,Hawaii,-155.909605,19.176212,0.09101348370313644
MHI,Hawaii,-156.022947,19.799082,0.3080523908138275
MHI,Hawaii,-155.08741301,19.75809826,0.4545819163322449
MHI,Hawaii,-155.90157199,19.21418038,0.10213783383369446
MHI,Hawaii,-154.91729088,19.39825846,0.3348107635974884
MHI,Hawaii,-155.05798113,19.74691001,0.4539470076560974
MHI,Hawaii,-155.907169,19.40696,0.1579882949590683
MHI,Hawaii,-155.915334,19.421629,0.20382294058799744
MHI,Hawaii,-155.831304,19.996112,0.46580547094345093
MHI,Hawaii,-155.908496,19.188793,0.09354580193758011
MHI,Hawaii,-155.377613,20.063359,0.7383486032485962
MHI,Hawaii,-155.05385815,19.74481596,0.44908925890922546
MHI,Hawaii,-155.952485,19.505647,0.20972927659749985
MHI,Hawaii,-155.088489,19.755143,0.4545819163322449
MHI,Hawaii,-154.97703,19.658385,0.409737229347229
MHI,Hawaii,-154.811416,19.496331,0.34423547983169556
MHI,Hawaii,-155.648421,20.165665,0.6506490707397461
MHI,Hawaii,-154.95483678,19.36723553,0.31369906663894653
MHI,Hawaii,-155.950878,19.498528,0.231533020734787
MHI,Hawaii,-154.90092865,19.40856803,0.282554030418396
MHI,Hawaii,-155.924077,19.468743,0.17774146795272827
MHI,Hawaii,-155.515451,20.113915,0.7532992362976074
MHI,Hawaii,-155.92813466,19.86209798,0.3559933304786682
MHI,Hawaii,-155.3492215,20.04969385,0.7373895049095154
MHI,Hawaii,-154.97697875,19.66447676,0.409737229347229
MHI,Hawaii,-154.97484572,19.66451297,0.4928615391254425
MHI,Hawaii,-154.94640316,19.37339933,0.31369906663894653
MHI,Hawaii,-155.901983,19.229177,0.10480885207653046
MHI,Hawaii,-155.987906,19.835369,0.33438605070114136
MHI,Hawaii,-155.081361,19.853316,0.5236691236495972
MHI,Hawaii,-155.10798,19.87712,0.6412574052810669
MHI,Hawaii,-155.975209,19.848332,0.412008136510849
MHI,Hawaii,-155.55666648,19.03911771,0.08267375826835632
MHI,Hawaii,-155.962008,19.853365,0.1871972382068634
MHI,Hawaii,-155.730055,20.217855,0.7969661951065063
MHI,Hawaii,-155.50239768,19.13276888,0.14520074427127838
MHI,Hawaii,-155.922736,19.873197,0.43735313415527344
MHI,Hawaii,-155.7924614,20.25059533,0.8103470802307129
MHI,Hawaii,-156.049673,19.777651,0.29318469762802124
MHI,Hawaii,-155.56104,19.031586,0.11015582084655762
MHI,Hawaii,-155.693117,20.185372,0.7771205306053162
MHI,Hawaii,-154.883551,19.558805,0.366646945476532
MHI,Hawaii,-156.051682,19.763842,0.3446098566055298
MHI,Hawaii,-155.23225481,19.98708649,0.7129529118537903
MHI,Hawaii,-155.03561134,19.74035217,0.45119762420654297
MHI,Hawaii,-155.8204122,19.01212153,NA
MHI,Hawaii,-155.91739995,19.1370999,0.08046668767929077
MHI,Hawaii,-155.911379,19.094477,0.06958114355802536
MHI,Hawaii,-155.331339,20.040718,0.7301140427589417
MHI,Hawaii,-155.551831,19.065545,0.09080898761749268
MHI,Hawaii,-155.904909,19.387355,0.061000242829322815
MHI,Hawaii,-154.822906,19.473039,0.2868935316801071
MHI,Hawaii,-155.867067,20.079857,0.6137130856513977
MHI,Hawaii,-156.051834,19.714778,0.2595195472240448
MHI,Hawaii,-155.282715,20.020272,0.6157107949256897
MHI,Hawaii,-155.910872,19.401905,0.15466240048408508
MHI,Hawaii,-155.372349,20.059754,0.6272577047348022
MHI,Hawaii,-155.452934,20.097243,0.7583048939704895
MHI,Hawaii,-155.82469585,20.26168551,0.8079631924629211
MHI,Hawaii,-155.55203707,19.04885941,0.08584364503622055
MHI,Hawaii,-155.318917,20.034048,0.7364315986633301
MHI,Hawaii,-155.849028,19.017998,0.058932166546583176
MHI,Hawaii,-156.051124,19.7813,0.29318469762802124
MHI,Hawaii,-155.78627363,18.99763014,0.05791236832737923
MHI,Hawaii,-154.95544145,19.3660173,0.31369906663894653
MHI,Hawaii,-154.93578195,19.38144528,0.13309764862060547
MHI,Hawaii,-154.85562975,19.4433614,0.36818790435791016
MHI,Hawaii,-155.081647,19.838023,0.5158578157424927
MHI,Hawaii,-155.134927,19.912636,0.6638570427894592
MHI,Hawaii,-155.579083,19.0163,0.009837046265602112
MHI,Hawaii,-156.035911,19.677569,0.24730722606182098
MHI,Hawaii,-154.83479544,19.46009243,0.3173258900642395
MHI,Hawaii,-155.941357,19.482254,0.17915818095207214
MHI,Hawaii,-155.886727,19.054955,NA
MHI,Hawaii,-155.408681,20.078584,0.6372928023338318
MHI,Hawaii,-155.475679,20.104933,0.6977365612983704
MHI,Hawaii,-155.899904,19.242862,NA
MHI,Hawaii,-155.889173,19.313184,0.12831348180770874
MHI,Hawaii,-156.029654,19.797235,0.37140947580337524
MHI,Hawaii,-155.18553,19.955028,0.6949435472488403
MHI,Hawaii,-154.846345,19.450839,0.3104524612426758
MHI,Hawaii,-155.84732381,20.26759828,0.688770055770874
MHI,Hawaii,-155.869893,20.083364,0.6137130856513977
MHI,Hawaii,-155.973106,19.585911,0.21794642508029938
MHI,Hawaii,-155.197626,19.962845,0.6919317841529846
MHI,Hawaii,-155.900001,19.257267,NA
MHI,Hawaii,-155.507387,19.12663,0.10977373272180557
MHI,Hawaii,-155.900855,19.910657,0.39151450991630554
MHI,Hawaii,-155.996419,19.63297,0.28406161069869995
MHI,Hawaii,-155.3185486,20.03393152,0.6764823198318481
MHI,Hawaii,-155.89272036,19.9299064,0.4060753881931305
MHI,Hawaii,-155.58381513,19.00462098,0.054742153733968735
MHI,Hawaii,-156.00174,19.827939,0.3272402882575989
MHI,Hawaii,-155.319422,20.034348,0.7364315986633301
MHI,Hawaii,-155.919356,19.132875,0.1076364815235138
MHI,Hawaii,-155.900541,19.253842,NA
MHI,Hawaii,-155.269487,20.014558,0.7210191488265991
MHI,Hawaii,-155.886175,20.112885,0.6355101466178894
MHI,Hawaii,-155.83330239,20.0034452,0.46580547094345093
MHI,Hawaii,-155.98592,19.612929,0.2758224308490753
MHI,Hawaii,-155.985594,19.612253,0.2758224308490753
MHI,Hawaii,-155.919252,19.133328,0.1076364815235138
MHI,Hawaii,-156.048138,19.694882,0.2549437880516052
MHI,Hawaii,-155.551866,20.128582,0.7580037117004395
MHI,Hawaii,-154.808004,19.506029,0.34991756081581116
MHI,Hawaii,-156.015699,19.806631,0.3792707026004791
MHI,Hawaii,-155.491477,20.109713,0.7560394406318665
MHI,Hawaii,-155.175665,19.947887,0.34188932180404663
MHI,Hawaii,-155.918973,19.124999,0.10493044555187225
MHI,Hawaii,-155.98546,19.838831,0.33438605070114136
MHI,Hawaii,-155.91901883,19.13674979,0.08046668767929077
MHI,Hawaii,-155.398549,20.074412,0.6280936002731323
MHI,Hawaii,-155.738199,20.22848,0.8048191666603088
MHI,Hawaii,-155.88288621,19.939099,0.41449782252311707
MHI,Hawaii,-155.072139,19.749405,0.5391697883605957
MHI,Hawaii,-155.948164,19.482746,0.17915818095207214
MHI,Hawaii,-155.250042,20.001223,0.605964183807373
MHI,Hawaii,-155.83812861,19.98997229,0.544636070728302
MHI,Hawaii,-155.677939,20.181251,0.769504189491272
MHI,Hawaii,-155.98486,19.840725,0.3360632658004761
MHI,Hawaii,-154.885991,19.417542,0.28404009342193604
MHI,Hawaii,-154.839091,19.456547,0.3173258900642395
MHI,Hawaii,-155.836398,20.009097,0.561074435710907
MHI,Hawaii,-154.865927,19.549881,0.1998232752084732
MHI,Hawaii,-155.894947,19.365212,0.1646500900387764
MHI,Hawaii,-156.010026,19.641143,0.23380395770072937
MHI,Hawaii,-155.912427,19.176394,0.09101348370313644
MHI,Hawaii,-155.903135,19.221516,0.10213783383369446
MHI,Hawaii,-155.70913405,20.20014013,0.7814606428146362
MHI,Hawaii,-155.823405,19.014625,2.9724236810579896e-4
MHI,Hawaii,-155.916488,19.107665,NA
MHI,Hawaii,-155.985084,19.608245,0.2758224308490753
MHI,Hawaii,-155.492326,19.135279,0.11423314362764359
MHI,Hawaii,-155.908541,19.191109,0.09354580193758011
MHI,Hawaii,-155.100709,19.870785,0.5347188115119934
MHI,Hawaii,-154.89433,19.567278,0.403886616230011
MHI,Hawaii,-154.8753698,19.42717879,0.29549863934516907
MHI,Hawaii,-155.013176,19.739159,0.4575708508491516
MHI,Hawaii,-155.89663,20.138776,0.6608409285545349
MHI,Hawaii,-154.834713,19.458164,0.3173258900642395
MHI,Hawaii,-155.20143,19.968566,0.5929060578346252
MHI,Hawaii,-155.02730579,19.74435185,0.4533139765262604
MHI,Hawaii,-155.60637427,18.9636033,0.06101562827825546
MHI,Hawaii,-154.821628,19.533798,0.3597179055213928
MHI,Hawaii,-154.85740176,19.44146164,0.36818790435791016
MHI,Hawaii,-155.536128,19.094083,0.09668167680501938
MHI,Hawaii,-154.956932,19.624891,0.34489452838897705
MHI,Hawaii,-155.880085,20.096813,0.629095733165741
MHI,Hawaii,-155.85326331,20.063003899999998,0.60131072998046875
MHI,Hawaii,-155.890526,19.325011,NA
MHI,Hawaii,-154.867703,19.550943,0.1998232752084732
MHI,Hawaii,-155.399111,20.075375,0.6372928023338318
MHI,Hawaii,-155.75131615,20.23945042,0.8127396702766418
MHI,Hawaii,-154.97109096,19.65415243,0.485429048538208
MHI,Hawaii,-155.957528,19.509591,0.1879255324602127
MHI,Hawaii,-155.208315,19.974095,0.6988790035247803
MHI,Hawaii,-155.800246,19.009163,0.059385817497968674
