region,island,lon,lat,year,month,day,date,date_r,coral_cover
NWHI,French_Frigate,-166.053528,23.725202,2016,9,24,2016-09-24T10:00:00Z,2016-09-24,0.021938297897577286
NWHI,French_Frigate,-166.0947435,23.63931715,2010,9,10,2010-09-10T10:00:00Z,2010-09-10,0.06422022730112076
NWHI,French_Frigate,-166.066574,23.690215,2016,9,24,2016-09-24T10:00:00Z,2016-09-24,0.03657596558332443
NWHI,French_Frigate,-166.230705,23.881739,2016,9,25,2016-09-25T10:00:00Z,2016-09-25,0.20532022416591644
NWHI,French_Frigate,-166.26196213,23.88063155,2017,9,27,2017-09-27T10:00:00Z,2017-09-27,0.276806116104126
NWHI,French_Frigate,-166.269044,23.880939,2016,9,25,2016-09-25T10:00:00Z,2016-09-25,0.3030170798301697
NWHI,French_Frigate,-166.331992,23.858306,2016,9,26,2016-09-26T10:00:00Z,2016-09-26,0.5191344022750854
NWHI,French_Frigate,-166.194359,23.726281,2016,9,2,2016-09-02T10:00:00Z,2016-09-02,0.2886117398738861
NWHI,French_Frigate,-166.0689624,23.79342078,2014,8,15,2014-08-15T10:00:00Z,2014-08-15,0.020837510004639626
NWHI,French_Frigate,-166.16240633,23.69965402,2010,9,9,2010-09-09T10:00:00Z,2010-09-09,0.2290971428155899
NWHI,French_Frigate,-166.260428,23.7722776,2014,8,16,2014-08-16T10:00:00Z,2014-08-16,0.44912177324295044
NWHI,French_Frigate,-166.31472001,23.87243003,2017,9,9,2017-09-09T10:00:00Z,2017-09-09,0.43600502610206604
NWHI,French_Frigate,-166.24010447,23.88225085,2017,9,11,2017-09-11T10:00:00Z,2017-09-11,0.22788673639297485
NWHI,French_Frigate,-166.133696,23.624255,2016,9,1,2016-09-01T10:00:00Z,2016-09-01,0.08367638289928436
NWHI,French_Frigate,-166.06925639,23.67903949,2017,9,10,2017-09-10T10:00:00Z,2017-09-10,0.036853644996881485
NWHI,French_Frigate,-166.113943,23.626821,2016,9,1,2016-09-01T10:00:00Z,2016-09-01,0.052701760083436966
