region,island,lon,lat,Bathymetry_CRM_vol10_3s,Bathymetry_CRM_vol10_3s_all_units_rugosity.nc,Bathymetry_ETOPO_2022_v1_15s,Bathymetry_ETOPO_2022_v1_15s_all_units_Long360.nc,Bathymetry_ETOPO_2022_v1_15s_all_units_rugosity.nc,Bathymetry_HMRG_MHI_50m,Bathymetry_HMRG_MHI_50m_all_units_rugosity.nc,Bathymetry_HURL_NWHI_60m,Bathymetry_HURL_NWHI_60m_all_units_rugosity.nc
MHI,Hawaii,-155.777357,20.246613,-1.399999976158142,0.26299557089805603,-19.472150802612305,NA,10.866888046264648,-0.234375,NA,NA,NA
MHI,Hawaii,-155.87149311,19.94641087,-0.20000000298023224,2.9703973655759164e-13,-20.50587272644043,NA,19.185697555541992,-3.4041924476623535,3.8868160247802734,NA,NA
MHI,Hawaii,-155.82560202,20.01060066,-0.32000000327825545,0.27798942582947866,-4.315954685211182,NA,6.9082746505737305,-2.670292854309082,1.592912991841634,NA,NA
MHI,Hawaii,-155.8969777,19.91123286,-1.1333333452542622,0.6184658408164978,-2.346222400665283,NA,7.354593753814697,-2.976036548614502,0.7241467237472534,NA,NA
MHI,Hawaii,-155.889523,19.916767,-0.10000000149011612,0.057735029608011246,-2.260955333709717,NA,4.07919979095459,-1.4177426099777222,0.4123634397983551,NA,NA
MHI,Hawaii,-155.956579,19.511386,-0.10000000149011612,2.1361958980560303,-6.584353446960449,NA,26.317893981933594,-4.6483154296875,2.186617374420166,NA,NA
MHI,Hawaii,-155.83395283,19.97723591,-1.100000023841858,0.29860785603523254,-7.066292762756348,NA,6.563028812408447,-4.469019412994385,1.65021812915802,NA,NA
MHI,Hawaii,-155.860167,19.95739,-0.8999999761581421,0.785281240940094,-2.7134110927581787,NA,20.09621810913086,-1.7027384042739868,3.1931904554367065,NA,NA
MHI,Hawaii,-155.79555265,19.00717646,-0.10000000149011612,2.1975364685058594,-91.36685943603516,NA,52.955238342285156,-27.335636138916016,10.097454071044922,NA,NA
MHI,Hawaii,-155.01567632,19.7366633,-0.5,0.20816659927368164,-0.6776069402694702,NA,2.7531144618988037,-4.420348644256592,4.228309154510498,NA,NA
MHI,Hawaii,-156.049831,19.7569,-1.7999999523162842,1.256019651889801,-20.344396591186523,NA,4.816930770874023,-4.6809983253479,4.178360462188721,NA,NA
MHI,Hawaii,-156.01742,19.802203,-0.699999988079071,0.48304587602615356,-9.684786796569824,NA,13.330960273742676,-3.340691328048706,1.621659517288208,NA,NA
MHI,Hawaii,-155.830251,19.983558,-0.10000000149011612,0.12909944355487823,-1.7881888151168823,NA,10.714714050292969,-3.54195237159729,0.6245748996734619,NA,NA
MHI,Hawaii,-155.800695,20.252542,-1.7000000476837158,1.4060954228043556,-18.339043617248535,NA,24.416093826293945,NA,NA,NA,NA
MHI,Hawaii,-156.03246,19.674787,-1.7999999523162842,1.8000000715255737,-12.266131401062012,NA,5.693449974060059,-3.138474941253662,1.1346285343170166,NA,NA
MHI,Hawaii,-155.059989,19.740152,-7.199999809265137,1.4399075508117676,-6.687591075897217,NA,0.7610692977905273,-5.730780561765035,0.7207321524620056,NA,NA
MHI,Hawaii,-155.869178,19.030253,-11,15.562000274658203,-0.0575784370303154,NA,33.38105392456055,-2.2013328075408936,4.445261001586914,NA,NA
MHI,Hawaii,-155.895701,19.262566,-6.01428568895374,6.949802017211914,-77.8822603225708,NA,108.01790618896484,-12.929620265960693,5.4780354499816895,NA,NA
MHI,Hawaii,-155.889545,19.302749,-2.799999952316284,3.0022215843200684,-12.43513298034668,NA,50.80583572387695,-9.605453419685364,7.7509002685546875,NA,NA
MHI,Hawaii,-155.845012,20.053892,-2.5,1.12101149559021,-9.372907638549805,NA,20.616878509521484,-7.393238544464111,2.9151651859283447,NA,NA
MHI,Hawaii,-155.958843,19.542758,-0.10000000149011612,0.7659416794776917,-15.480307579040527,NA,10.277521133422852,-0.6550480127334595,1.9718867540359497,NA,NA
MHI,Hawaii,-155.930896,19.854674,-1.899999976158142,0.18257416784763336,-4.766075134277344,NA,5.660987377166748,-3.856614828109741,0.25959381461143494,NA,NA
MHI,Hawaii,-155.118784,19.886182,-0.10000000149011612,1.5154757499694824,-12.302366495132446,NA,26.905336380004883,NA,NA,NA,NA
MHI,Hawaii,-155.901028,19.218277,-2.299999952316284,7.42899751663208,-32.81235122680664,NA,140.68902587890625,-2.341362237930298,6.22214150428772,NA,NA
MHI,Hawaii,-155.523119,20.117904,-0.800000011920929,1.004572868347168,-20.164371490478516,NA,53.287818908691406,-84.9491756255614,NA,NA,NA
MHI,Hawaii,-155.909741,19.171803,-4,0.9287087917327881,-9.330352783203125,NA,18.049354553222656,-4.179351329803467,1.6373751163482666,NA,NA
MHI,Hawaii,-155.294332,20.022652,-0.20000000298023224,0.9327379465103149,-35.00212119306837,NA,54.0595588684082,NA,NA,NA,NA
MHI,Hawaii,-155.764613,20.24141,-1.7000000476837158,0.970586895942688,-12.452317237854004,NA,12.545228958129883,-0.27764424681663513,NA,NA,NA
MHI,Hawaii,-155.99838,19.828644,-4.199999809265137,0.8225973844528198,-2.8100762367248535,NA,5.093997478485107,-4.257059097290039,0.3102107048034668,NA,NA
MHI,Hawaii,-155.36388949,20.05500748,-0.20000000298023224,1.2738037109375,-2.8949503898620605,NA,25.442745208740234,-90.6916766696506,NA,NA,NA
MHI,Hawaii,-155.83898599,19.01857392,-39.5,19.956787109375,-25.820877075195313,NA,89.97254943847656,-35.44591522216797,13.721020221710205,NA,NA
